,train_interval,test_interval,num_of_h0
0,"[2011-04-28 00:00:00+00:00, 2011-10-28 00:00:00+00:00]","(2011-10-28 00:00:00+00:00, 2012-04-28 00:00:00+00:00]",655
1,"[2011-04-28 00:00:00+00:00, 2011-10-28 00:00:00+00:00]","(2012-04-28 00:00:00+00:00, 2012-10-28 00:00:00+00:00]",592
2,"[2011-04-28 00:00:00+00:00, 2011-10-28 00:00:00+00:00]","(2012-10-28 00:00:00+00:00, 2013-04-28 00:00:00+00:00]",555
3,"[2011-04-28 00:00:00+00:00, 2011-10-28 00:00:00+00:00]","(2013-04-28 00:00:00+00:00, 2013-10-28 00:00:00+00:00]",558
4,"[2011-04-28 00:00:00+00:00, 2011-10-28 00:00:00+00:00]","(2013-10-28 00:00:00+00:00, 2014-04-28 00:00:00+00:00]",540
5,"[2011-04-28 00:00:00+00:00, 2011-10-28 00:00:00+00:00]","(2014-04-28 00:00:00+00:00, 2014-10-28 00:00:00+00:00]",562
6,"[2011-04-28 00:00:00+00:00, 2011-10-28 00:00:00+00:00]","(2014-10-28 00:00:00+00:00, 2015-04-28 00:00:00+00:00]",558
7,"[2011-10-28 00:00:00+00:00, 2012-04-28 00:00:00+00:00]","(2012-04-28 00:00:00+00:00, 2012-10-28 00:00:00+00:00]",652
8,"[2011-10-28 00:00:00+00:00, 2012-04-28 00:00:00+00:00]","(2012-10-28 00:00:00+00:00, 2013-04-28 00:00:00+00:00]",563
9,"[2011-10-28 00:00:00+00:00, 2012-04-28 00:00:00+00:00]","(2013-04-28 00:00:00+00:00, 2013-10-28 00:00:00+00:00]",531
10,"[2011-10-28 00:00:00+00:00, 2012-04-28 00:00:00+00:00]","(2013-10-28 00:00:00+00:00, 2014-04-28 00:00:00+00:00]",526
11,"[2011-10-28 00:00:00+00:00, 2012-04-28 00:00:00+00:00]","(2014-04-28 00:00:00+00:00, 2014-10-28 00:00:00+00:00]",546
12,"[2011-10-28 00:00:00+00:00, 2012-04-28 00:00:00+00:00]","(2014-10-28 00:00:00+00:00, 2015-04-28 00:00:00+00:00]",556
13,"[2012-04-28 00:00:00+00:00, 2012-10-28 00:00:00+00:00]","(2012-10-28 00:00:00+00:00, 2013-04-28 00:00:00+00:00]",582
14,"[2012-04-28 00:00:00+00:00, 2012-10-28 00:00:00+00:00]","(2013-04-28 00:00:00+00:00, 2013-10-28 00:00:00+00:00]",565
15,"[2012-04-28 00:00:00+00:00, 2012-10-28 00:00:00+00:00]","(2013-10-28 00:00:00+00:00, 2014-04-28 00:00:00+00:00]",535
16,"[2012-04-28 00:00:00+00:00, 2012-10-28 00:00:00+00:00]","(2014-04-28 00:00:00+00:00, 2014-10-28 00:00:00+00:00]",540
17,"[2012-04-28 00:00:00+00:00, 2012-10-28 00:00:00+00:00]","(2014-10-28 00:00:00+00:00, 2015-04-28 00:00:00+00:00]",552
18,"[2012-10-28 00:00:00+00:00, 2013-04-28 00:00:00+00:00]","(2013-04-28 00:00:00+00:00, 2013-10-28 00:00:00+00:00]",656
19,"[2012-10-28 00:00:00+00:00, 2013-04-28 00:00:00+00:00]","(2013-10-28 00:00:00+00:00, 2014-04-28 00:00:00+00:00]",635
20,"[2012-10-28 00:00:00+00:00, 2013-04-28 00:00:00+00:00]","(2014-04-28 00:00:00+00:00, 2014-10-28 00:00:00+00:00]",617
21,"[2012-10-28 00:00:00+00:00, 2013-04-28 00:00:00+00:00]","(2014-10-28 00:00:00+00:00, 2015-04-28 00:00:00+00:00]",580
22,"[2013-04-28 00:00:00+00:00, 2013-10-28 00:00:00+00:00]","(2013-10-28 00:00:00+00:00, 2014-04-28 00:00:00+00:00]",726
23,"[2013-04-28 00:00:00+00:00, 2013-10-28 00:00:00+00:00]","(2014-04-28 00:00:00+00:00, 2014-10-28 00:00:00+00:00]",703
24,"[2013-04-28 00:00:00+00:00, 2013-10-28 00:00:00+00:00]","(2014-10-28 00:00:00+00:00, 2015-04-28 00:00:00+00:00]",685
25,"[2013-10-28 00:00:00+00:00, 2014-04-28 00:00:00+00:00]","(2014-04-28 00:00:00+00:00, 2014-10-28 00:00:00+00:00]",692
26,"[2013-10-28 00:00:00+00:00, 2014-04-28 00:00:00+00:00]","(2014-10-28 00:00:00+00:00, 2015-04-28 00:00:00+00:00]",647
27,"[2014-04-28 00:00:00+00:00, 2014-10-28 00:00:00+00:00]","(2014-10-28 00:00:00+00:00, 2015-04-28 00:00:00+00:00]",681
